City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Aykhal,91,RU,1575520390,64,65.95,111.51,-45.4,6.71
Ocos,40,GT,1575520390,94,14.51,-92.19,77,3.53
Broome,20,GB,1575520390,93,52.47,1.45,37,6.93
Baker City,40,US,1575520390,90,44.77,-117.83,35.6,4.7
Lasa,75,CY,1575520390,72,34.92,32.53,64.4,11.41
Hobart,75,AU,1575520317,39,-42.88,147.33,62.6,20.8
Pozo Colorado,100,PY,1575520390,85,-23.49,-58.8,69.03,9.82
Sehwan,40,PK,1575520390,72,26.43,67.86,62.6,6.93
Port Blair,28,IN,1575520390,73,11.67,92.75,80.78,18.86
Alto Paraguai,100,BR,1575520390,86,-14.51,-56.48,73.74,3.69
Awbari,40,LY,1575520390,26,26.59,12.77,59.7,5.1
Saint-Francois,90,FR,1575520391,92,46.42,3.91,25,0.85
Provideniya,90,RU,1575520391,62,64.42,-173.23,19.4,22.37
Nizwa,0,OM,1575520391,31,22.93,57.53,67.41,1.05
Carros,94,FR,1575520391,47,43.78,7.19,48.2,12.75
Isangel,90,VU,1575520391,78,-19.55,169.27,82.4,15.64
Noumea,20,NC,1575520300,58,-22.28,166.46,86,14.99
Sitka,2,US,1575520391,64,37.17,-99.65,47.93,8.34
Namatanai,14,PG,1575520391,70,-3.66,152.44,84.65,4.12
Monrovia,20,LR,1575520391,94,6.33,-10.8,77,6.15
Bredasdorp,0,ZA,1575520391,72,-34.53,20.04,62.01,13
San Quintin,64,PH,1575520391,72,17.54,120.52,84.27,6.67
Alofi,20,NU,1575520391,74,-19.06,-169.92,80.6,3.36
Sao Filipe,100,CV,1575520391,86,14.9,-24.5,68.36,21.43
Vardo,75,US,1575520391,60,39.62,-77.74,41,10.29
Keflavik,75,IS,1575520391,100,64,-22.56,32,21.92
Mount Gambier,90,AU,1575520391,72,-37.83,140.78,60.8,18.34
Axochiapan,0,MX,1575520391,82,18.5,-98.75,64.99,2.21
Grand Gaube,40,MU,1575520391,78,-20.01,57.66,82,12.75
North Bend,90,US,1575520391,100,43.41,-124.22,45,6.93
Ust-Tsilma,91,RU,1575520392,96,65.44,52.15,6.53,2.93
Lere,22,TD,1575520392,27,9.66,14.23,70.57,4.05
Creel,92,MX,1575520392,70,27.75,-107.63,45.52,1.21
Garbolovo,90,RU,1575520392,93,60.34,30.5,37.99,11.18
Oulainen,100,FI,1575520392,93,64.27,24.8,37,4
Berlevag,100,NO,1575520392,86,70.86,29.09,33.8,12.75
Lompoc,90,US,1575520269,93,34.64,-120.46,59,9.17
Yenotayevka,60,RU,1575520449,72,47.24,47.04,28.54,16.17
Aklavik,75,CA,1575520449,75,68.22,-135.01,-18.4,1.14
Heidenheim,0,DE,1575520449,92,49.02,10.74,28.99,2.24
Belyy,100,RU,1575520449,96,55.83,32.94,37.13,10.09
Qaqortoq,100,GL,1575520450,43,60.72,-46.03,14,4.7
Faya,5,SA,1575520450,93,18.39,42.45,53.6,1.07
Nantucket,90,US,1575520450,80,41.28,-70.1,37.4,5.82
Torbay,90,CA,1575520450,86,47.66,-52.73,39,19.46
Beuningen,90,NL,1575520450,92,51.86,5.77,33.01,6.93
Sorland,75,NO,1575520450,86,67.67,12.69,39.2,6.93
Naze,40,NG,1575520450,94,5.43,7.07,73.4,1.36
Tautira,75,PF,1575520450,78,-17.73,-149.15,80.6,10.29
Havoysund,40,NO,1575520450,80,71,24.66,39.2,19.46
Valdivia,65,CL,1575520450,93,-39.81,-73.25,51.8,2.24
Kogon,20,UZ,1575520450,70,39.73,64.54,46.4,2.24
Longyearbyen,75,NO,1575520435,74,78.22,15.63,30.2,28.86
Nyrob,91,RU,1575520450,97,60.74,56.73,8.31,3.47
Ribeira Grande,86,PT,1575520450,71,38.52,-28.7,57.56,1.23
Grindavik,75,IS,1575520450,100,63.84,-22.43,32,21.92
Kodiak,1,US,1575520451,86,39.95,-94.76,44.6,3.76
Goderich,96,CA,1575520451,82,43.74,-81.71,36,14.29
San Ignacio,100,PE,1575520451,97,-5.15,-79,61.88,1.39
Santa Cruz de Tenerife,90,ES,1575520203,87,28.47,-16.25,64.99,19.46
Paamiut,33,GL,1575520451,38,61.99,-49.67,19.71,14
Westport,1,US,1575520232,80,41.14,-73.36,39.2,4.7
Voyvozh,81,RU,1575520451,96,62.89,54.96,8.98,4.38
Kulhudhuffushi,100,MV,1575520247,84,6.62,73.07,79.92,20.92
Kaitangata,100,NZ,1575520451,73,-46.28,169.85,55.99,11.99
Pevek,0,RU,1575520451,84,69.7,170.27,-1.17,2.91
Beyneu,10,KZ,1575520451,71,45.32,55.19,28.62,13.24
Port Hedland,14,AU,1575520451,59,-20.31,118.58,93.2,14.99
Tuatapere,100,NZ,1575520451,97,-46.13,167.69,46.13,3.09
Ambilobe,76,MG,1575520451,51,-13.19,49.05,87.37,8.12
Half Moon Bay,90,US,1575520451,87,37.46,-122.43,55.99,6.96
Pitsunda,20,GE,1575520451,69,43.16,40.34,33.8,15.66
Filadelfia,59,PY,1575520451,71,-22.35,-60.04,71.31,19.04
Ekhabi,100,RU,1575520452,90,53.51,142.97,13.57,25.14
Pangnirtung,55,CA,1575520452,70,66.15,-65.72,-2.13,5.7
Rio Gallegos,20,AR,1575520452,49,-51.62,-69.22,48.2,21.92
Iqaluit,90,CA,1575520339,78,63.75,-68.52,14,17.22
Tala,5,MX,1575520452,59,20.65,-103.7,60.8,2.19
Cidreira,86,BR,1575520452,95,-30.17,-50.22,69.84,12.26
The Valley,20,AI,1575520452,74,18.22,-63.06,82.4,8.05
Inhambane,75,MZ,1575520452,100,-23.87,35.38,68,4.7
Talnakh,75,RU,1575520452,84,69.49,88.39,1.4,17.9
Ondjiva,100,AO,1575520509,73,-17.07,15.73,70.57,8.43
Najran,90,SA,1575520509,62,17.54,44.22,53.6,4.7
Vanimo,27,PG,1575520509,79,-2.67,141.3,84.31,15.64
Valparaiso,90,US,1575520510,80,41.47,-87.06,37.4,12.75
Airai,69,TL,1575520510,58,-8.93,125.41,82.2,6.31
Kluang,75,MY,1575520510,70,2.04,103.32,86,11.41
Nioro,76,GM,1575520510,25,13.79,-15.05,69.24,9.35
San Andres del Rabanedo,16,ES,1575520510,89,42.61,-5.62,35.01,4.7
Hasaki,75,JP,1575520510,46,35.73,140.83,57.2,5.82
Viedma,67,AR,1575520510,61,-40.81,-62.99,53.4,9.84
Cuamba,63,MZ,1575520510,56,-14.8,36.54,81.68,5.41
Ukiah,40,US,1575520510,93,39.15,-123.21,54,3.36
Nieuwpoort,20,BE,1575520510,92,51.13,2.75,37.4,3.36
Yining,0,CN,1575520510,28,29.04,114.56,59.11,6.35
Coquimbo,0,CL,1575520510,87,-29.95,-71.34,55.4,2.98
Saldanha,18,PT,1575520510,86,41.42,-6.55,36.23,5.48
Brigham City,1,US,1575520510,92,41.51,-112.02,33.01,1.39
Mukhen,100,RU,1575520510,79,48.19,136.14,0.52,8.99
Kiunga,63,PG,1575520510,59,-6.12,141.3,90.5,1.95
San Carlos de Bariloche,94,AR,1575520510,50,-41.13,-71.31,55.4,6.93
San Felipe,0,CL,1575520510,29,-32.75,-70.73,49.42,1.81
Tarpon Springs,40,US,1575520511,81,28.15,-82.76,60.8,13.38
Bom Sucesso,96,BR,1575520511,95,-21.03,-44.76,64.89,3.24
Hofn,17,IS,1575520511,63,64.25,-15.21,37.65,23.47
Port Macquarie,0,AU,1575520511,17,-31.43,152.91,86,17.22
Lazaro Cardenas,75,MX,1575520511,50,28.39,-105.62,53.6,8.05
Camden,75,US,1575520511,100,39.94,-75.12,37.99,3.36
San Andres,84,PH,1575520511,71,13.32,122.68,85.06,3.53
Narsaq,100,GL,1575520511,43,60.91,-46.05,14,4.7
Fort Nelson,90,CA,1575520511,84,58.81,-122.69,8.6,1.36
Laguna,75,BZ,1575520511,94,16.17,-88.94,71.6,4.7
Vila,99,IT,1575520511,100,45.18,8.4,37.4,3.36
Komsomolskiy,100,RU,1575520511,90,67.55,63.78,6.64,2.19
Sangar,100,RU,1575520511,92,63.92,127.47,-33.05,5.35
Ketchikan,90,US,1575520511,100,55.34,-131.65,39.2,5.82
Longhua,87,CN,1575520511,65,29.21,106.21,55.31,2.66
Talkha,0,EG,1575520511,76,31.05,31.37,59.77,5.1
Banff,100,CA,1575520511,86,51.18,-115.57,23,4
Ahipara,0,NZ,1575520512,80,-35.17,173.16,66.83,4.27
Usinsk,95,RU,1575520512,95,66,57.56,9,8.9
Champerico,5,MX,1575520512,64,16.38,-93.6,73.4,6.93
Sao Felix do Xingu,100,BR,1575520569,93,-6.64,-51.99,72.32,1.81
Luneville,0,FR,1575520569,92,48.6,6.5,32,1.12
Tarko-Sale,100,RU,1575520569,89,64.92,77.78,12,12.15
Buala,100,SB,1575520569,70,-8.15,159.59,83.66,2.86
Along,0,IN,1575520569,19,28.17,94.8,72.37,0.67
Upington,100,ZA,1575520570,43,-28.46,21.24,71.6,8.05
Dvinskoy,85,RU,1575520570,93,62.16,45.12,17.89,5.82
Vao,100,EE,1575520570,91,59.1,26.19,38.93,14.76
Mwinilunga,93,ZM,1575520570,94,-11.73,24.43,65.48,5.55
Kawalu,61,ID,1575520570,49,-7.38,108.21,87.17,5.97
Mabini,40,PH,1575520570,55,7.31,125.85,91.4,6.93
Tecoanapa,40,MX,1575520570,78,16.99,-99.26,80.6,3.36
Kedrovyy,75,RU,1575520570,92,56.17,91.82,21.2,6.71
Agadir,75,MA,1575520570,100,30.42,-9.58,55.4,5.82
Baruun-Urt,0,MN,1575520570,64,46.68,113.28,5.04,13.91
Nome,1,US,1575520570,82,30.04,-94.42,55.4,4.27
Kimbe,84,PG,1575520570,62,-5.56,150.15,87.73,3.67
Livingstone,100,ZW,1575520570,66,-17.85,25.86,74.75,13.67
Coldingham,50,GB,1575520570,75,55.89,-2.16,44.6,17.22
Kindu,95,CD,1575520571,80,-2.95,25.92,74.77,2.48
Evanston,1,US,1575520571,64,42.04,-87.69,35.6,4.7
Voh,99,NC,1575520571,77,-20.95,164.69,77.2,15.52
Ternate,40,PH,1575520571,74,14.29,120.72,87.01,8.05
Huarmey,99,PE,1575520571,81,-10.07,-78.15,65.16,2.04
Lakhimpur,0,IN,1575520571,77,27.24,94.1,66.2,2.24
Moree,0,AU,1575520571,9,-29.46,149.84,93.2,14.99
Hualmay,99,PE,1575520571,84,-11.1,-77.61,64.42,1.86
Victoria,75,BN,1575520523,74,5.28,115.24,84.2,1.12
Salalah,75,OM,1575520571,50,17.01,54.1,78.8,17.22
Saint-Raymond,90,CA,1575520571,92,46.89,-71.84,24.8,1.86
Erzin,75,TR,1575520571,93,36.95,36.2,53.6,11.41
Saskylakh,69,RU,1575520571,99,71.97,114.09,-36.74,3.27
Tiznit,86,MA,1575520571,82,29.7,-9.73,50.81,2.93
Santa Maria,75,BR,1575520571,100,-16.02,-48.01,69.8,1.12
Belousovka,75,KZ,1575520572,92,50.13,82.52,14,1.45
Ust-Nera,91,RU,1575520572,100,64.57,143.24,-33.99,3.4
Saint Paul,1,US,1575520308,100,44.95,-93.1,30.2,2.48
Makakilo City,75,US,1575520572,78,21.35,-158.09,78.8,3.36
Synya,94,RU,1575520572,95,65.37,58.04,10.63,5.1
Lodingen,97,NO,1575520572,75,68.41,16,41,35.57
Druzhba,100,UA,1575520572,97,52.05,33.94,35.08,12.82
Shannon,75,IE,1575520572,87,52.71,-8.88,44.6,9.17
Avera,1,US,1575520572,61,33.19,-82.53,53.6,8.05
Eenhana,100,NA,1575520572,91,-17.48,16.34,67.51,7.67
Guangyuan,0,CN,1575520629,54,32.43,105.86,48,4.88
Minas,40,UY,1575520406,72,-34.38,-55.24,62.6,16.11
El Paraiso,75,HN,1575520629,99,15.02,-88.98,64.27,3.11
Biskamzha,13,RU,1575520629,83,53.45,89.53,23.99,2.95
Souillac,13,FR,1575520630,93,45.6,-0.6,37.99,3.36
Roznava,5,SK,1575520630,92,48.66,20.54,23,4.7
Turayf,0,SA,1575520630,100,31.68,38.65,39.2,3.36
Havre-Saint-Pierre,90,CA,1575520630,92,50.23,-63.6,23,4.7
Batemans Bay,100,AU,1575520630,15,-35.71,150.18,81.05,12.62
Chernaya Kholunitsa,82,RU,1575520630,96,58.85,51.72,13.93,3.76
Yaan,0,NG,1575520630,41,7.38,8.57,73.49,1.9
Coahuayana,0,MX,1575520630,73,18.62,-100.35,71.15,2.33
Eureka,90,US,1575520630,87,40.8,-124.16,51.01,4.21
Serebryansk,100,KZ,1575520630,75,49.68,83.3,26.01,3.02
Poum,40,MK,1575520630,74,41.28,20.71,33.8,6.93
Saint-Augustin,90,CA,1575520630,92,45.63,-73.98,32,3.36
Namibe,94,AO,1575520630,83,-15.19,12.15,71.44,5.46
Valdemarpils,90,LV,1575520630,81,57.37,22.59,44.6,20.8
Araouane,92,ML,1575520630,38,18.9,-3.53,63.45,8.7
Kalmunai,97,LK,1575520630,79,7.42,81.82,82.45,15.79
La Crosse,1,US,1575520440,100,43.8,-91.24,30.2,5.82
Shenkursk,92,RU,1575520630,94,62.11,42.91,23.77,9.35
Port Hardy,20,CA,1575520631,92,50.7,-127.42,30.2,3.36
Sinop,93,TR,1575520631,70,42.03,35.15,44.19,7.29
Walvis Bay,75,NA,1575520631,77,-22.95,14.51,64.4,6.93
Gat,100,SN,1575520631,88,14.69,-16.54,69.8,16.11
Khandyga,65,RU,1575520631,96,62.65,135.58,-42.93,2.59
Shimanovsk,0,RU,1575520631,82,52,127.67,-0.65,8.61
Kurilsk,83,RU,1575520631,73,45.23,147.88,26.94,25.03
Kamaishi,75,JP,1575520631,47,39.28,141.86,32,4.7
Mitsamiouli,20,KM,1575520631,74,-11.38,43.28,84.2,4.7
Garoua,52,CM,1575520631,32,9.31,13.39,71.31,1.39
Tilichiki,58,RU,1575520631,82,60.47,166.1,21.06,11.07
Maningrida,41,AU,1575520631,39,-12.05,134.23,93.81,13.78
Soure,16,PT,1575520631,93,40.06,-8.63,42.8,6.93
Alice Springs,0,AU,1575520631,7,-23.7,133.88,96.8,8.05
Hamilton,75,CA,1575520415,83,43.26,-79.87,36,11.41
Shingu,75,JP,1575520632,53,33.72,135.99,51.8,20.8
Aitape,2,PG,1575520632,74,-3.15,142.36,85.24,11.5
Selestat,0,FR,1575520632,92,48.27,7.45,30.99,1.12
Hambantota,75,LK,1575520632,94,6.12,81.12,80.6,10.29
Kahului,40,US,1575520632,69,20.89,-156.47,77,10.29
Santiago del Estero,25,AR,1575520632,77,-27.8,-64.26,59.72,6.58
Galiakot,75,IN,1575520632,29,23.54,74.01,81.05,7.45
Veraval,90,FR,1575520632,94,49.65,0.71,35.6,2.24
Felipe Carrillo Puerto,3,MX,1575520632,92,19.58,-88.05,64.81,2.71
Pemba,40,MZ,1575520632,83,-12.97,40.52,80.6,5.82
Itarema,60,BR,1575520632,79,-2.92,-39.92,77.67,5.41
Shagonar,55,RU,1575520632,88,51.54,92.92,1.6,1.92
Gazanjyk,99,TM,1575520689,80,39.24,55.52,41.02,7.2
Arrifes,40,PT,1575520689,67,37.77,-25.7,57.2,5.82
Balasore,6,IN,1575520689,31,21.5,86.92,78.39,11.01
Portland,90,US,1575520564,86,43.66,-70.25,28.99,8.14
Nuuk,0,GL,1575520690,72,64.17,-51.74,15.8,14.99
Aurangabad,40,IN,1575520690,57,19.87,75.33,75.2,4.7
Monroe,90,US,1575520690,80,41.91,-83.4,35.6,11.41
Plettenberg Bay,0,ZA,1575520690,50,-34.05,23.37,64.72,3.36
Litovko,94,RU,1575520690,87,49.24,135.18,-1.98,11.54
Samarai,96,PG,1575520690,79,-10.62,150.67,81.39,8.77
Olinda,40,AU,1575520690,36,-37.84,145.39,75.2,23.04
Abrau-Dyurso,0,RU,1575520690,85,44.7,37.6,23,4.47
Dum Duma,0,IN,1575520690,56,27.57,95.57,71.6,5.82
Imeni Poliny Osipenko,0,RU,1575520690,84,52.42,136.49,0.48,6.85
Moron,0,HT,1575520690,78,18.56,-74.26,78.31,6.8
Potiskum,69,NG,1575520690,28,11.71,11.08,67.15,8.25
Lavrentiya,100,RU,1575520690,89,65.58,-170.99,13.69,23.85
Zhigansk,63,RU,1575520690,92,66.77,123.37,-36.74,10.02
Malkara,7,TR,1575520690,82,40.89,26.9,31.62,6.13
Abbeville,90,FR,1575520690,83,50.11,1.83,32,5.82
Jamame,29,SO,1575520690,77,0.07,42.75,83.16,6.73
Kuhdasht,0,IR,1575520690,100,33.53,47.61,33.8,4.7
Muzhi,100,RU,1575520690,97,65.4,64.7,2.95,0.27
Ampere,90,US,1575520691,100,38.1,-121.24,55.4,5.46
Joshimath,72,IN,1575520691,13,30.57,79.57,53.46,5.19
Hashtrud,100,IR,1575520691,72,37.48,47.05,37.76,7.49
Tabou,89,CI,1575520691,95,4.42,-7.36,74.91,2.75
Broken Hill,0,AU,1575520691,8,-31.97,141.45,93.2,20.8
Chanute,1,US,1575520691,80,37.68,-95.46,44.6,5.86
Port-Gentil,83,GA,1575520691,80,-0.72,8.78,80.64,10.89
West Monroe,1,US,1575520691,75,32.52,-92.15,46.99,3.65
Shaunavon,99,CA,1575520691,95,49.65,-108.41,21.58,15.28
Dobsina,0,SK,1575520691,92,48.82,20.37,23,4.7
Port Lincoln,0,AU,1575520691,46,-34.72,135.86,73.85,16.06
Nyurba,100,RU,1575520691,91,63.29,118.35,-23.13,6.51
Susanville,100,US,1575520691,93,40.42,-120.65,34,2.13
Yermakovskoye,0,RU,1575520691,81,53.28,92.4,18.25,4.5
Puerto Escondido,100,MX,1575520691,87,15.86,-97.07,69.42,3.02
Marzuq,14,YE,1575520691,34,14.4,46.47,64.09,6.55
